longlat,lat,neighbourhoodgroup,neighbourhood,roomtype,price,minimumnights,numberofreviews,lastreview,reviewspermonth,calculatedhostlistingscount,availability365,numcalls,zip,ASSAULT3&RELATEDOFFENSES,BURGLARY,CRIMINALMISCHIEF&RELATEDOF,CRIMINALTRESPASS,DANGEROUSDRUGS,DANGEROUSWEAPONS,FELONYASSAULT,FORGERY,FRAUDS,GRANDLARCENY,GRANDLARCENYOFMOTORVEHICLE,HARRASSMENT2,INTOXICATED&IMPAIREDDRIVING,MISCELLANEOUSPENALLAW,OFFAGNSTPUBORDSENSBLTY,OFFENSESAGAINSTPUBLICADMINI,OFFENSESAGAINSTTHEPERSON,OFFENSESINVOLVINGFRAUD,OTHEROFFENSESRELATEDTOTHEF,PETITLARCENY,POSSESSIONOFSTOLENPROPERTY,ROBBERY,THEFTFRAUD,UNAUTHORIZEDUSEOFAVEHICLE,VEHICLEANDTRAFFICLAWS,0,0,0,0,0,0,0
40.637-73.931,40.637,Brooklyn,East Flatbush,Private room,44,4,24,2019,1.07,4,87,9,11234,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.637-73.931,40.637,Brooklyn,East Flatbush,Private room,50,4,12,2019,1.78,4,62,9,11234,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.637-73.931,40.637,Brooklyn,East Flatbush,Private room,35,4,10,2019,2.59,4,42,10,11234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.64-73.951,40.64,Brooklyn,East Flatbush,Entire home/apt,97,2,21,2019,0.85,1,0,287,11234,1,1,2,0,0,2,1,1,0,3,0,5,0,1,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
40.641-74.015,40.641,Brooklyn,Sunset Park,Private room,53,1,18,2019,0.63,8,360,19,11234,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40.641-74.015,40.641,Brooklyn,Sunset Park,Private room,48,1,10,2019,0.71,8,240,19,11234,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40.644-74,40.644,Brooklyn,Borough Park,Private room,70,1,139,2019,1.7,1,364,5,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.644-74,40.644,Brooklyn,Borough Park,Private room,55,1,0,2019,0,2,0,6,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40.645-73.97,40.645,Brooklyn,Flatbush,Entire home/apt,62,2,0,2019,0,1,54,95,11234,3,3,1,0,1,0,0,0,0,4,0,4,1,2,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0
40.647-74.008,40.647,Brooklyn,Sunset Park,Entire home/apt,138,3,74,2019,2.27,1,83,5,11234,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
